Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
Hansel and Gretel: Witch Hunters,17-01-2013,Action,Tommy Wirkola,,Jeremy Renner,Gemma Arterton,Zoe Bell,Famke Janssen,Peter Stormare,"$50,000,000.00","$226,300,000.00"
Heaven Is for Real,16-04-2014,Religious,Randall Wallace,,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,"$12,000,000.00","$101,300,000.00"
Here Comes the Boom,12-10-2012,Comedy,Frank Coraci,,Kevin James,Salma Hayek,Henry Winkler,Joe Rogan,,"$42,000,000.00","$73,100,000.00"
Hit and Run,22-08-2012,Action,Dax Shepard,,Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold,Kristin Chenoweth,"$2,000,000.00","$14,500,000.00"
Hitman: Agent 47,21-08-2015,Action,Aleksander Bach,,Rupert Friend,Zachary Quinto,Hannah Ware,Thomas Kretschmann,,"$35,000,000.00","$82,300,000.00"
Home,07-03-2015,Animation,Tim Johnson,,Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones,"$135,000,000.00","$386,000,000.00"
Hope Springs,08-08-2012,Romance,David Frankel,,Meryl Streep,Tommy Lee Jones,Steve Carell,Mimi Rogers,Elisabeth Shue,"$30,000,000.00","$114,300,000.00"
Horrible Bosses 2,26-11-2014,Comedy,Sean Anders,,Jason Bateman,Charlie Day,Jason Sudeikis,Kevin Spacey,Jennifer Aniston,"$57,000,000.00","$107,700,000.00"
Hot Pursuit,08-05-2015,Action,Anne Fletcher,,Reese Witherspoon,SofÃ­a Vergara,Jim Gaffigan,John Carroll Lynch,,"$35,000,000.00","$51,700,000.00"
Hotel Transylvania,28-09-2012,Fantasy,Genndy Tartakovsky,,Adam Sandler,Selena Gomez,Andy Samberg,Kevin James,Fran Drescher,"$85,000,000.00","$358,400,000.00"
Hotel Transylvania 2,25-09-2015,Fantasy,Genndy Tartakovsky,,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,"$80,000,000.00","$473,000,000.00"
How to Train Your Dragon 2,16-05-2014,Family,Dean DeBlois,,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,"$145,000,000.00","$621,500,000.00"
I,14-01-2015,Romance,S. Shankar,,Vikram,Amy Jackson,N. Santhanam,Suresh Gopi,Upen Patel,"$15,000,000.00","$65,000,000.00"
I Saw the Light,11-09-2015,Drama,Marc Abraham,Tom Hiddleston,Elizabeth Olsen,,,,,"$13,000,000.00","$2,600,000.00"
Ice Age: Collision Course,22-07-2016,Adventure,Mike Thurmeier,Galen T. Chu,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Jennifer Lopez,"$105,000,000.00","$368,300,000.00"
Ice Age: Continental Drift,13-07-2012,Adventure,Steve Martino,Mike Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,"$95,000,000.00","$877,000,000.00"
Identity Thief,08-02-2013,Action,Seth Gordon,,Jason Bateman,Melissa McCarthy,Amanda Peet,John Cho,Clark Duke,"$35,000,000.00","$174,000,000.00"
If I Stay,18-08-2014,Drama,R. J. Cutler,,ChloÃ« Grace Moretz,Mireille Enos,Lauren Lee Smith,Liana Liberato,Jamie Blackley,"$11,000,000.00","$78,900,000.00"
